eff,win,p05,pior,cap,w,cuts,eff_por_cap
1.1676338937851087,79.83193277310924,0.8376952058196776,0.8223291097102365,1.5839041095890412,"(1, 1, 4, 2)","(70, 76, 82, 88)",0.28709147791936507
1.1610160195518697,79.83193277310924,0.8530469515325283,0.8436900483571206,1.5136986301369864,"(1, 1, 4, 3)","(70, 78, 86, 94)",0.313444518060973
1.1715174467640028,81.5126050420168,0.8431126492715079,0.8301596097325613,1.5886986301369863,"(1, 1, 4, 3)","(70, 76, 82, 88)",0.2913501713501386
1.1660440204861828,79.83193277310924,0.8580716770261769,0.8504617508695775,1.5383561643835617,"(1, 1, 4, 4)","(70, 78, 86, 94)",0.3084278243127569
1.1828461080543942,81.5126050420168,0.8463300753175133,0.834165882599157,1.5996575342465753,"(1, 1, 4, 4)","(70, 76, 82, 88)",0.3049175531232616
1.1660440204861828,79.83193277310924,0.8632102374053683,0.8531750707756577,1.5541095890410959,"(1, 1, 4, 5)","(70, 78, 86, 94)",0.29965917170559575
1.1660440204861828,79.83193277310924,0.8656145080152056,0.8531750707756577,1.5681506849315068,"(1, 1, 4, 6)","(70, 78, 86, 94)",0.29225348994554184
1.1421456557433338,77.31092436974791,0.8368302625611187,0.8220379564756254,1.4976027397260274,"(1, 1, 5, 1)","(70, 78, 86, 94)",0.28566091863078785
1.1681173953312494,78.15126050420169,0.8158592712651901,0.799211800369609,1.5945205479452054,"(1, 1, 5, 1)","(70, 76, 82, 88)",0.2827781073544057
1.1500316580053436,78.99159663865547,0.8490259439804315,0.8345367348675987,1.498972602739726,"(1, 1, 5, 2)","(70, 78, 86, 94)",0.30068115399835493
1.1699030601754117,78.99159663865547,0.8309205028921789,0.8152776114499276,1.5873287671232876,"(1, 1, 5, 2)","(70, 76, 82, 88)",0.2892810120770858
1.1579103177344945,79.83193277310924,0.8554268486344853,0.8410607636067512,1.5133561643835616,"(1, 1, 5, 3)","(70, 78, 86, 94)",0.30760382107052964
1.1699030601754117,80.67226890756302,0.8406329969976064,0.8270468566166859,1.5938356164383563,"(1, 1, 5, 3)","(70, 76, 82, 88)",0.2861112662700127
1.163743681219568,79.83193277310924,0.8596915029470923,0.8459978852040938,1.533904109589041,"(1, 1, 5, 4)","(70, 78, 86, 94)",0.3066911797056695
1.179246206589032,81.5126050420168,0.8416730925912734,0.8295515839306469,1.595890410958904,"(1, 1, 5, 4)","(70, 76, 82, 88)",0.3008039788735478
1.163743681219568,79.83193277310924,0.860563664617739,0.8518665176053705,1.5462328767123288,"(1, 1, 5, 5)","(70, 78, 86, 94)",0.2997689963392719
1.163743681219568,79.83193277310924,0.8633275861736206,0.855258715964754,1.5592465753424658,"(1, 1, 5, 6)","(70, 78, 86, 94)",0.2927933552732019
1.1442116478027355,77.31092436974791,0.8316707824316054,0.8186970437637728,1.5123287671232877,"(1, 1, 6, 1)","(70, 78, 86, 94)",0.28148262806416297
1.1497533936887092,78.15126050420169,0.8473046089232489,0.8328370220612574,1.5102739726027397,"(1, 1, 6, 2)","(70, 78, 86, 94)",0.29347644937653083
1.1757195333263915,78.99159663865547,0.8283878174058729,0.8126290118569801,1.5914383561643837,"(1, 1, 6, 2)","(70, 76, 82, 88)",0.2971054066665101
1.1571231934402808,78.99159663865547,0.8515407677451299,0.8370006545560685,1.5202054794520548,"(1, 1, 6, 3)","(70, 78, 86, 94)",0.30204063518473995
1.1790664177322843,79.83193277310924,0.8367615696927582,0.8225173712979054,1.5945205479452054,"(1, 1, 6, 3)","(70, 76, 82, 88)",0.30119466577089293
1.1620984251010655,78.99159663865547,0.8563929111198207,0.8420336995231362,1.5352739726027398,"(1, 1, 6, 4)","(70, 78, 86, 94)",0.30283263038714736
1.1792358716861386,81.5126050420168,0.8405830353720033,0.8281888943564775,1.5996575342465753,"(1, 1, 6, 4)","(70, 76, 82, 88)",0.29889705615278406
1.1620984251010655,79.83193277310924,0.86006555563656,0.8465607201837383,1.5424657534246575,"(1, 1, 6, 5)","(70, 78, 86, 94)",0.29881780384792384
1.1794278371240443,81.5126050420168,0.8425390363905003,0.8299297980686559,1.598972602739726,"(1, 1, 6, 5)","(70, 76, 82, 88)",0.2995593392808516
1.1620984251010655,79.83193277310924,0.8631584954369088,0.8516799507846099,1.55,"(1, 1, 6, 6)","(70, 78, 86, 94)",0.2947244092746646
1.1415681506740427,78.15126050420169,0.8466584674777211,0.8356835377252737,1.4349315068493151,"(1, 2, 1, 1)","(70, 78, 86, 94)",0.3254952755655155
1.1578113748677843,78.15126050420169,0.827902862375939,0.8132123003361861,1.542123287671233,"(1, 2, 1, 1)","(70, 76, 82, 88)",0.29109868263672145
1.1452684406464462,76.47058823529412,0.8184252579894727,0.8050774659509204,1.5356164383561643,"(1, 2, 1, 1)","(64, 74, 84, 92)",0.2712172932785312
1.1497401772493299,78.15126050420169,0.8559207516069741,0.840346294802112,1.4616438356164383,"(1, 2, 1, 2)","(70, 78, 86, 94)",0.32436299522851875
1.1694553589304915,79.83193277310924,0.8425076224952499,0.8132123003361861,1.5636986301369864,"(1, 2, 1, 2)","(70, 76, 82, 88)",0.30061339494352063
1.1609113186237516,78.99159663865547,0.8281899501365761,0.8203293270482623,1.5681506849315068,"(1, 2, 1, 2)","(64, 74, 84, 92)",0.28321943965120844
1.161995823787301,78.99159663865547,0.8610478039080304,0.840346294802112,1.4996575342465754,"(1, 2, 1, 3)","(70, 78, 86, 94)",0.32421371176073926
1.1725683782450989,79.83193277310924,0.8493638747615835,0.8132123003361861,1.588013698630137,"(1, 2, 1, 3)","(70, 76, 82, 88)",0.2934767993451885
1.1705165371684665,78.99159663865547,0.8332040555424892,0.824686780366071,1.5883561643835618,"(1, 2, 1, 3)","(64, 74, 84, 92)",0.2898185614271956
1.161995823787301,79.83193277310924,0.8681666809797911,0.840346294802112,1.5297945205479453,"(1, 2, 1, 4)","(70, 78, 86, 94)",0.30577104425269463
1.1637444463862379,79.83193277310924,0.8682960703310378,0.840346294802112,1.5452054794520549,"(1, 2, 1, 5)","(70, 78, 86, 94)",0.3003352911104362
1.1676765183502342,79.83193277310924,0.8669573983148817,0.840346294802112,1.5674657534246574,"(1, 2, 1, 6)","(70, 78, 86, 94)",0.2954830619086808
1.139007112969295,77.31092436974791,0.8431196781412756,0.8317958471397553,1.4537671232876712,"(1, 2, 2, 1)","(70, 78, 86, 94)",0.3063402036757292
1.1557652891802253,78.15126050420169,0.8212321538890063,0.809762307003182,1.5626712328767123,"(1, 2, 2, 1)","(70, 76, 82, 88)",0.27683179817788056
1.1404001309972214,77.31092436974791,0.8114321313264674,0.7979518050973616,1.5554794520547945,"(1, 2, 2, 1)","(64, 74, 84, 92)",0.2527548597483886
1.1484990037097282,78.99159663865547,0.8497149561044555,0.8406084887207934,1.4616438356164383,"(1, 2, 2, 2)","(70, 78, 86, 94)",0.32167439972730455
1.1683306328757241,79.83193277310924,0.8348018861220564,0.825071096906677,1.5643835616438355,"(1, 2, 2, 2)","(70, 76, 82, 88)",0.2982557330079579
1.1481388079745918,78.99159663865547,0.8251912681094962,0.813567084208422,1.5773972602739725,"(1, 2, 2, 2)","(64, 74, 84, 92)",0.25656306007461926
1.1575235028548416,78.99159663865547,0.855818401571463,0.8476948899203695,1.4886986301369862,"(1, 2, 2, 3)","(70, 78, 86, 94)",0.3223326057015681
