date,open,high,low,close,volume,n,vwap,ohlc4,mvrv,market_cap,supply,hashrate,cm_price,realized_cap,realized_price,price_to_rp,nupl,mvrv_zscore,ma200d,mayer,ma200w,p_ma200w,rsi_weekly,rsi_weekly_prev,hr_ma30,hr_ma60,hr_capitulation,hr_recovery,hash_ribbon,pct_mvrv,pct_mayer,pct_p_ma200w,pct_price_to_rp,pct_rsi_weekly,pct_mvrv_zscore
2023-04-02,28469.0,28544.0,27891.0,28186.0,689.98223995,1440,28188.55261698009,28272.5,1.425206305097,544524713657.57355,19335443.2081464,346961109.98617065,28161.9980362361,382067292089.69714,19759.944883431723,1.4264209827646503,0.2983471961752656,0.5719422933260212,20431.665,1.379525359289123,25526.768085714288,1.1041742497662255,65.45663469400475,65.10852295818634,330646400.29663503,316638851.55790323,0.0,0.0,0.0,0.39182282793867124,0.7143222506393861,0.12472324723247233,0.39255293258700413,0.6788830715532286,0.3514018691588785
2023-04-03,28179.0,28506.0,27236.0,27816.0,2393.226229,1440,27930.03777430404,27934.25,1.409099995135,538533843979.47015,19336261.95810817,305046344.9313801,27850.9799436002,382182844254.3394,19765.084124446334,1.4073302104288004,0.2903271567294313,0.550407955994286,20472.29,1.3587146332921232,25540.84834285714,1.0890789384362456,65.45663469400475,65.10852295818634,329970839.51776373,316995604.590347,0.0,0.0,0.0,0.38004866180048663,0.7008437739708514,0.11988196237550719,0.3795620437956204,0.6787138584247259,0.3416978109983983
2023-04-04,27820.0,28447.0,27686.0,28178.0,1294.59736105,1440,28128.252945858552,28032.75,1.4219430768,543647331979.0974,19337274.45807541,377232885.49311525,28113.9585187025,382327071209.1682,19771.507718840137,1.4251821560957323,0.2967369676636834,0.5678609701325741,20514.17,1.3735871351363473,25555.500107142856,1.1026197836810927,65.45663469400475,65.10852295818634,331487474.9715131,318946695.8085545,0.0,0.0,0.0,0.38944295791778155,0.7103783231083844,0.12426253687315635,0.3918754560934079,0.6785447296287067,0.3498799039231385
2023-04-05,28178.0,28782.0,27823.0,28183.0,1576.30733991,1440,28332.555783482338,28241.5,1.424960408187,545148282923.03174,19338143.20803173,323675130.8904787,28190.3116063705,382570827786.4595,19783.22446322385,1.42459082200634,0.29822611614008554,0.5722447889962341,20554.515,1.371134273905271,25570.069435714286,1.1021870734788142,65.45663469400475,65.10852295818634,332859685.87167436,319907350.5010211,0.0,0.0,0.0,0.39153696498054474,0.7091745463838487,0.12421673424253594,0.39178015564202334,0.6783756851021425,0.35192102454642477
2023-04-06,28181.0,28199.0,27723.0,28051.0,1064.88009436,1440,27965.208192493377,28038.5,1.41726242259,542445068149.4137,19339143.20799351,375586794.88083017,28049.0744763296,382741445411.4386,19791.023898785694,1.4173597153667785,0.29441436951913724,0.5620902336560812,20597.675,1.3618527333788888,25584.5301,1.0964047371735781,65.45663469400475,65.10852295818634,333608045.61618143,321211560.6288617,0.0,0.0,0.0,0.3860928762460491,0.7023505365355135,0.12159174649963155,0.3860928762460491,0.6782067247820672,0.34702587356628434
2023-04-07,28054.0,28118.0,27797.0,27931.0,436.4796401,1440,27949.07151955386,27975.0,1.411891341659,540298652289.0736,19340030.70795529,338032941.7856073,27936.8042609585,382677219094.0785,19786.79480258885,1.4115980015290592,0.2917301987099231,0.5547244980114892,20639.64,1.3532697275727679,25598.765635714288,1.091107297807824,65.45663469400475,65.10852295818634,335387509.6517226,322020282.94623166,0.0,0.0,0.0,0.38138065143412736,0.6957854406130268,0.12044198895027625,0.38210986874088476,0.6780378486055777,0.34373333333333334
2023-04-08,27931.0,28174.0,27891.0,27969.0,417.7631391,1440,28042.962542513724,27991.25,1.413111240664,540851301862.0267,19340949.45791706,349935509.4099869,27964.0512498539,382737951760.888,19788.994981537337,1.4133613165344887,0.29234162801640806,0.5564180610344763,20685.095,1.3521330213856886,25613.077585714283,1.0919812313222264,65.45663469400475,65.10852295818634,337421044.7164304,323222996.002349,0.0,0.0,0.0,0.38250303766707167,0.6945863125638406,0.1211340206185567,0.3837181044957473,0.6778690565098332,0.34390829112236737
2023-04-09,27968.0,28544.0,27833.0,28340.0,718.54765779,1440,28169.26208109139,28171.25,1.432780320048,548492793650.61993,19341861.9578843,347554997.25628686,28357.8072703098,382817090642.51013,19792.152972452728,1.4318806063920588,0.3020562985074372,0.5829866175590561,20734.465,1.3668064259193569,25627.868307142853,1.1058274398928933,65.76785465495183,65.45663469400475,339283264.1061541,324516443.597021,0.0,0.0,0.0,0.39577259475218657,0.7056420730150625,0.12734633787265368,0.3969873663751215,0.6916376306620209,0.35554371002132196
2023-04-10,28353.0,29789.0,28184.0,29652.0,2711.67320655,1440,29034.14445701437,28994.5,1.498410626119,574235609982.3527,19342630.70784062,292803183.44178885,29687.5651846873,383229803615.09283,19812.703318569223,1.4966155563541403,0.3326261956710239,0.6720489070115746,20785.71,1.4265569951663908,25643.318949999997,1.1563245794281245,65.76785465495183,65.45663469400475,337136047.0581222,324114902.56170094,0.0,0.0,0.0,0.42190915715326693,0.736089841755998,0.14422369389256806,0.4221520524653874,0.6914655386912167,0.3807620570210498
2023-04-11,29657.0,30575.0,29617.0,30246.0,2689.4048951,1440,30137.17695297722,30023.75,1.524007596955,585087519181.1974,19343593.2078024,366599104.7697063,30247.0959193454,383913781237.18994,19847.076864826497,1.5239523787809148,0.3438352918987927,0.7077414845835938,20840.47,1.4513108389590061,25659.266735714285,1.1787554302127268,65.76785465495183,65.45663469400475,337737356.3540717,325432330.0542253,0.0,0.0,0.0,0.4295774647887324,0.744322531257974,0.1518940787054064,0.4293346284604177,0.6912935323383085,0.39158231220031964
2023-04-12,30255.0,30503.0,29689.0,29903.0,1926.94195052,1440,30057.839999005428,30087.5,1.506773205338,578654885226.6572,19344593.20776964,380882187.97572565,29913.0035463472,384035821168.49036,19852.359625440182,1.5062693082428467,0.33633011493877774,0.6846067990568594,20895.38,1.4310818946580535,25674.785828571425,1.164683522568018,65.76785465495183,65.45663469400475,339103430.8271912,326955206.47476393,0.0,0.0,0.0,0.424132070890993,0.736734693877551,0.1463235294117647,0.42388929351784416,0.6911216115394181,0.38402130492676434
